GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-management,com.devsenior.juanfe.Exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
library-management,com.devsenior.juanfe.Exceptions,BookNotAvailableException,0,4,0,0,0,2,0,1,0,1
library-management,com.devsenior.juanfe.service,LoanService,6,126,6,12,1,23,6,8,0,5
library-management,com.devsenior.juanfe.service,UserService,13,72,1,3,3,18,2,8,1,7
library-management,com.devsenior.juanfe.service,BookService,2,74,2,6,2,15,2,7,0,5
library-management,com.devsenior.juanfe,Main,7,0,0,0,3,0,2,0,2,0
library-management,com.devsenior.juanfe.model,Book,0,21,0,0,0,8,0,4,0,4
library-management,com.devsenior.juanfe.model,Loan,10,35,0,0,3,13,2,6,2,6
library-management,com.devsenior.juanfe.model,LoanState,0,15,0,0,0,2,0,1,0,1
library-management,com.devsenior.juanfe.model,User,3,39,0,0,1,15,1,7,1,7
